transaction_id,product_id,return_date,reason
T20250004941,P0487,2025-10-14,Wrong Item
T20250051775,P0101,2025-07-30,Wrong Item
T20250115253,P0232,2026-01-12,Wrong Item
T20260149321,P0316,2025-04-09,Customer Changed Mind
T20260023570,P0403,2025-10-13,Customer Changed Mind
T20250030862,P0140,2025-04-03,Damaged
T20260094471,P0174,2026-11-22,Damaged
T20250127794,P0120,2026-06-28,Damaged
T20250071558,P0273,2025-09-16,Customer Changed Mind
T20260068011,P0104,2026-02-17,Customer Changed Mind
T20250148208,P0070,2025-06-24,Customer Changed Mind
T20260005735,P0482,2025-12-24,Customer Changed Mind
T20250100698,P0211,2026-03-04,Damaged
T20260091403,P0198,2026-11-03,Customer Changed Mind
T20260045272,P0331,2026-12-26,Customer Changed Mind
T20260088663,P0275,2025-04-25,Customer Changed Mind
T20260112957,P0316,2025-05-30,Damaged
T20260057082,P0382,2026-11-12,Wrong Item
T20260148896,P0388,2025-09-04,Customer Changed Mind
T20260070946,P0302,2026-12-26,Customer Changed Mind
T20250074581,P0461,2026-05-20,Wrong Item
T20260103578,P0237,2026-08-07,Wrong Item
T20250047620,P0045,2025-09-30,Wrong Item
T20250092772,P0420,2025-12-19,Customer Changed Mind
T20250116904,P0120,2025-01-23,Wrong Item
T20260058352,P0145,2025-09-15,Customer Changed Mind
T20250076044,P0278,2026-04-05,Damaged
T20260052667,P0109,2026-01-19,Damaged
T20250062134,P0093,2025-11-25,Wrong Item
T20260127353,P0467,2025-01-23,Damaged
T20250064194,P0372,2026-04-14,Damaged
T20260145822,P0359,2025-04-03,Customer Changed Mind
T20250027391,P0057,2025-03-31,Wrong Item
T20260053500,P0200,2026-06-15,Wrong Item
T20260114505,P0283,2025-04-24,Customer Changed Mind
T20260147455,P0190,2026-02-05,Damaged
T20250137985,P0373,2025-08-22,Customer Changed Mind
T20250047622,P0267,2025-11-11,Damaged
T20250021911,P0362,2026-08-26,Customer Changed Mind
T20250094181,P0052,2026-09-28,Wrong Item
T20250068117,P0368,2026-10-30,Damaged
T20250039648,P0293,2026-07-14,Damaged
T20250073722,P0221,2025-07-19,Wrong Item
T20250133456,P0095,2026-02-28,Damaged
T20250030763,P0256,2025-06-25,Damaged
T20250058096,P0202,2025-05-09,Customer Changed Mind
T20250126979,P0430,2026-11-24,Wrong Item
T20250149636,P0176,2025-07-03,Customer Changed Mind
T20250027810,P0164,2025-10-07,Wrong Item
T20260122001,P0041,2026-06-16,Damaged
T20250114617,P0359,2026-05-16,Wrong Item
T20260040693,P0278,2025-12-29,Customer Changed Mind
T20260069814,P0104,2025-05-08,Wrong Item
T20250067164,P0157,2026-09-21,Customer Changed Mind
T20250083961,P0220,2025-06-23,Wrong Item
T20260104122,P0434,2026-11-17,Customer Changed Mind
T20250141378,P0142,2025-02-08,Customer Changed Mind
T20260001754,P0390,2025-01-20,Wrong Item
T20250125013,P0489,2026-03-30,Customer Changed Mind
T20260123552,P0356,2025-09-12,Customer Changed Mind
T20260051853,P0409,2025-11-09,Damaged
T20250099511,P0222,2025-10-04,Wrong Item
T20250025140,P0003,2026-03-05,Wrong Item
T20250007603,P0412,2025-08-19,Customer Changed Mind
T20250084095,P0209,2026-07-30,Customer Changed Mind
T20250084071,P0146,2026-03-14,Wrong Item
T20260001177,P0023,2025-01-31,Customer Changed Mind
T20260144081,P0178,2025-05-08,Customer Changed Mind
T20250088694,P0465,2026-02-14,Customer Changed Mind
T20250099932,P0416,2026-12-14,Customer Changed Mind
T20250014442,P0196,2026-04-25,Damaged
T20260012220,P0378,2025-12-21,Customer Changed Mind
T20260013631,P0281,2025-04-11,Customer Changed Mind
T20250049023,P0447,2025-12-29,Wrong Item
T20250080644,P0315,2026-05-08,Damaged
T20260124016,P0227,2025-09-29,Customer Changed Mind
T20250064876,P0015,2026-02-25,Wrong Item
T20260006696,P0049,2025-05-11,Customer Changed Mind
T20260145991,P0188,2025-10-07,Customer Changed Mind
T20260042037,P0250,2026-08-10,Wrong Item
T20250118765,P0410,2025-06-23,Wrong Item
T20250094748,P0245,2026-12-27,Damaged
T20260101764,P0172,2026-02-20,Customer Changed Mind
T20250060381,P0025,2025-07-31,Wrong Item
T20260133938,P0302,2026-06-28,Wrong Item
T20260045995,P0093,2025-08-17,Wrong Item
T20250112778,P0164,2026-05-11,Wrong Item
T20250076727,P0295,2025-09-11,Customer Changed Mind
